n_notes, scale_no, mode_name, semitones
3,1,Minoric, 444
4,1,Thaptic, 4341
4,1,Lothic, 3414
4,1,Phratic, 4143
4,1,Aerathic, 1434
4,2,Epathic, 4323
4,2,Mynic, 3234
4,2,Rothic, 2343
4,2,Eporic, 3432
4,3,Zyphic, 4431
4,3,Epogic, 4314
4,3,Lanic, 3144
4,3,Pyrric, 1443
4,4,Aeoloric, 4413
4,4,Gonic, 4134
4,4,Dalic, 1344
4,4,Dygic, 3441
4,5,Daric, 4332
4,5,Lonic, 3324
4,5,Phradic, 3243
4,5,Bolic, 2433
4,6,Saric, 4233
4,6,Zoptic, 2334
4,6,Aeraphic, 3342
4,6,Byptic, 3423
4,7,Aeolic, 4422
4,7,Koptic, 4224
4,7,Mixolyric, 2244
4,7,Lydic, 2442
4,8,Stathic, 4242
4,8,Dadic, 2424
4,9,Phrynic, 3333
5,1,Epathitonic, 32322
5,1,Mynitonic, 23223
5,1,Rocritonic, 32232
5,1,Pentatonic, 22323
5,1,Thaptitonic, 23232
5,2,Magitonic, 43221
5,2,Daditonic, 32214
5,2,Aeolyphritonic, 22143
5,2,Gycritonic, 21432
5,2,Pyritonic, 14322
5,3,Gathitonic, 42321
5,3,Ionitonic, 23214
5,3,Phrynitonic, 32142
5,3,Stathitonic, 21423
5,3,Thalitonic, 14232
5,4,Zolitonic, 42141
5,4,Epogitonic, 21414
5,4,Lanitonic, 14142
5,4,Paptitonic, 41421
5,4,Ionacritonic, 14214
5,5,Phraditonic, 41412
5,5,Aeoloritonic, 14124
5,5,Gonitonic, 41241
5,5,Dalitonic, 12414
5,5,Dygitonic, 24141
5,6,Aeracritonic, 41232
5,6,Byptitonic, 12324
5,6,Daritonic, 23241
5,6,Lonitonic, 32412
5,6,Ionycritonic, 24123
5,7,Lothitonic, 41223
5,7,Phratonic, 12234
5,7,Aerathitonic, 22341
5,7,Saritonic, 23412
5,7,Zoptitonic, 34122
5,8,Dolitonic, 44121
5,8,Poritonic, 41214
5,8,Aerylitonic, 12144
5,8,Zagitonic, 21441
5,8,Lagitonic, 14412
5,9,Molitonic, 43311
5,9,Staptitonic, 33114
5,9,Mothitonic, 31143
5,9,Aeritonic, 11433
5,9,Ragitonic, 14331
5,10,Ionaditonic, 43212
5,10,Bocritonic, 32124
5,10,Gythitonic, 21243
5,10,Pagitonic, 12432
5,10,Aeolythitonic, 24321
5,11,Zacritonic, 43131
5,11,Laritonic, 31314
5,11,Thacritonic, 13143
5,11,Styditonic, 31431
5,11,Loritonic, 14313
5,12,Aeolyritonic, 43113
5,12,Goritonic, 31134
5,12,Aeoloditonic, 11343
5,12,Doptitonic, 13431
5,12,Aeraphitonic, 34311
5,13,Zathitonic, 42411
5,13,Raditonic, 24114
5,13,Stonitonic, 41142
5,13,Syptitonic, 11424
5,13,Ionythitonic, 14241
5,14,Aeolanitonic, 42231
5,14,Danitonic, 22314
5,14,Ionaritonic, 23142
5,14,Dynitonic, 31422
5,14,Zyditonic, 14223
5,15,Aeolacritonic, 42123
5,15,Zythitonic, 21234
5,15,Dyritonic, 12342
5,15,Koptitonic, 23421
5,15,Thocritonic, 34212
5,16,Lycritonic, 41331
5,16,Daptitonic, 13314
5,16,Kygitonic, 33141
5,16,Mocritonic, 31413
5,16,Zynitonic, 14133
5,17,Epygitonic, 41322
5,17,Zaptitonic, 13224
5,17,Kagitonic, 32241
5,17,Zogitonic, 22413
5,17,Epyritonic, 24132
5,18,Zothitonic, 41313
5,18,Phrolitonic, 13134
5,18,Ionagitonic, 31341
5,18,Aeolapritonic, 13413
5,18,Kyritonic, 34131
5,19,Ionyptitonic, 41133
5,19,Gyritonic, 11334
5,19,Zalitonic, 13341
5,19,Stolitonic, 33411
5,19,Bylitonic, 34113
5,20,Thoditonic, 33231
5,20,Dogitonic, 32313
5,20,Phralitonic, 23133
5,20,Garitonic, 31332
5,20,Soptitonic, 13323
5,21,Kataritonic, 33222
5,21,Sylitonic, 32223
5,21,Thonitonic, 22233
5,21,Phropitonic, 22332
5,21,Staditonic, 23322
5,22,Lyditonic, 33132
5,22,Mythitonic, 31323
5,22,Sogitonic, 13233
5,22,Gothitonic, 32331
5,22,Rothitonic, 23313
5,23,Zylitonic, 44211
5,23,Zoditonic, 42114
5,23,Zaritonic, 21144
5,23,Phrythitonic, 11442
5,23,Rolitonic, 14421
5,24,Ranitonic, 44112
5,24,Laditonic, 41124
5,24,Poditonic, 11244
5,24,Ionothitonic, 12441
5,24,Kanitonic, 24411
5,25,Ryphitonic, 43122
5,25,Gylitonic, 31224
5,25,Aeolycritonic, 12243
5,25,Pynitonic, 22431
5,25,Zanitonic, 24312
5,26,Phronitonic, 42312
5,26,Banitonic, 23124
5,26,Aeronitonic, 31242
5,26,Golitonic, 12423
5,26,Dyptitonic, 24231
5,27,Aerynitonic, 42213
5,27,Palitonic, 22134
5,27,Stothitonic, 21342
5,27,Aerophitonic, 13422
5,27,Katagitonic, 34221
5,28,Ionoditonic, 42132
5,28,Bogitonic, 21324
5,28,Mogitonic, 13242
5,28,Docritonic, 32421
5,28,Epaditonic, 24213
5,29,Mixitonic, 33321
5,29,Phrothitonic, 33213
5,29,Katycritonic, 32133
5,29,Ionalitonic, 21333
5,29,Loptitonic, 13332
5,30,Thyritonic, 33312
5,30,Thoptitonic, 33123
5,30,Bycritonic, 31233
5,30,Pathitonic, 12333
5,30,Myditonic, 23331
5,31,Bolitonic, 42222
5,31,Bothitonic, 22224
5,31,Kataditonic, 22242
5,31,Koditonic, 22422
5,31,Tholitonic, 24222
6,1,Epathimic, 322122
6,1,Mynimic, 221223
6,1,Rocrimic, 212232
6,1,Eporimic, 122322
6,1,Thaptimic, 223221
6,1,Lothimic, 232212
6,2,Dyrimic, 421221
6,2,Koptimic, 212214
6,2,Thocrimic, 122142
6,2,Aeolanimic, 221421
6,2,Danimic, 214212
6,2,Ionarimic, 142122
6,3,Daptimic, 414111
6,3,Kygimic, 141114
6,3,Mocrimic, 411141
6,3,Zynimic, 111414
6,3,Aeolimic, 114141
6,3,Zythimic, 141411
6,4,Epygimic, 412311
6,4,Zaptimic, 123114
6,4,Kagimic, 231141
6,4,Zogimic, 311412
6,4,Epyrimic, 114123
6,4,Lycrimic, 141231
6,5,Bylimic, 412221
6,5,Zothimic, 122214
6,5,Phrolimic, 222141
6,5,Ionagimic, 221412
6,5,Aeolaphimic, 214122
6,5,Kycrimic, 141222
6,6,Garimic, 412212
6,6,Soptimic, 122124
6,6,Ionyptimic, 221241
6,6,Gyrimic, 212412
6,6,Zalimic, 124122
6,6,Stolimic, 241221
6,7,Thonimic, 411411
6,7,Stadimic, 114114
6,7,Thodimic, 141141
6,8,Mythimic, 411321
6,8,Sogimic, 113214
6,8,Gogimic, 132141
6,8,Rothimic, 321411
6,8,Katarimic, 214113
6,8,Sylimic, 141132
6,9,Mixolimic, 323211
6,9,Dadimic, 232113
6,9,Aeolyphimic, 321132
6,9,Gycrimic, 211323
6,9,Pyrimic, 113232
6,9,Lydimic, 132321
6,10,Ionacrimic, 323112
6,10,Gathimic, 231123
6,10,Ionynimic, 311232
6,10,Phrynimic, 112323
6,10,Stathimic, 123231
6,10,Thatimic, 232311
6,11,Dalimic, 322311
6,11,Dygimic, 223113
6,11,Zolimic, 231132
6,11,Epogimic, 311322
6,11,Lanimic, 113223
6,11,Paptimic, 132231
6,12,Darmic, 322212
6,12,Lonimic, 222123
6,12,Ionycrimic, 221232
6,12,Phradimic, 212322
6,12,Aeolorimic, 123222
6,12,Gonimic, 232221
6,13,Phracrimic, 321222
6,13,Aerathimic, 212223
6,13,Sarimic, 122232
6,13,Zoptimic, 222321
6,13,Zeracrimic, 223212
6,13,Byptimic, 232122
6,14,Starimic, 432111
6,14,Phrathimic, 321114
6,14,Saptimic, 211143
6,14,Aerodimic, 111432
6,14,Macrimic, 114321
6,14,Rogimic, 143211
6,15,Bygimic, 431121
6,15,Thycrimic, 311214
6,15,Aeoladimic, 112143
6,15,Dylimic, 121431
6,15,Eponimic, 214311
6,15,Katygimic, 143112
6,16,Stalimic, 423111
6,16,Stoptimic, 231114
6,16,Zygimic, 311142
6,16,Kataptimic, 111423
6,16,Aeolaptimic, 114231
6,16,Pothimic, 142311
6,17,Rycrimic, 422121
6,17,Ronimic, 221214
6,17,Stycrimic, 212142
6,17,Katorimic, 121422
6,17,Epythimic, 214221
6,17,Kaptimic, 142212
6,18,Katythimic, 421311
6,18,Madimic, 213114
6,18,Aerygimic, 131142
6,18,Pylimic, 311421
6,18,Ionathimic, 114213
6,18,Morimic, 142131
6,19,Aerycrimic, 421131
6,19,Ganimic, 211314
6,19,Eparimic, 113142
6,19,Lyrimic, 131421
6,19,Phraptimic, 314211
6,19,Bacrimic, 142113
6,20,Phralimic, 413211
6,20,Phrogimic, 132114
6,20,Rathimic, 321141
6,20,Katocrimic, 211413
6,20,Phryptimic, 114132
6,20,Katynimic, 141321
6,21,Solimic, 413121
6,21,Ionolimic, 131214
6,21,Ionophimic, 312141
6,21,Aeologimic, 121413
6,21,Zadimic, 214131
6,21,Sygimic, 141312
6,22,Thogimic, 413112
6,22,Rythimic, 131124
6,22,Donimic, 311241
6,22,Aeoloptimic, 112413
6,22,Panimic, 124131
6,22,Lodimic, 241311
6,23,Laptimic, 412131
6,23,Lygimic, 121314
6,23,Logimic, 213141
6,23,Lalimic, 131412
6,23,Sothimic, 314121
6,23,Phrocrimic, 141213
6,24,Modimic, 412122
6,24,Barimic, 121224
6,24,Poptimic, 212241
6,24,Sagimic, 122412
6,24,Aelothimic, 224121
6,24,Socrimic, 241212
6,25,Syrimic, 412113
6,25,Stodimic, 121134
6,25,Ionocrimic, 211341
6,25,Zycrimic, 113412
6,25,Ionygimic, 134121
6,25,Katathimic, 341211
6,26,Bolimic, 411312
6,26,Bothimic, 113124
6,26,Katadimic, 131241
6,26,Kodimic, 312411
6,26,Tholimic, 124113
6,26,Ralimic, 241131
6,27,Kanimic, 411231
6,27,Zylimic, 112314
6,27,Zodimic, 123141
6,27,Zarimic, 231411
6,27,Phrythimic, 314112
6,27,Rorimic, 141123
6,28,Pynimic, 411132
6,28,Zanimic, 111324
6,28,Ranimic, 113241
6,28,Ladimic, 132411
6,28,Podimic, 324111
6,28,Ionothimic, 241113
6,29,Kytrimic, 411123
6,29,Golimic, 111234
6,29,Dyptimic, 112341
6,29,Ryrimic, 123411
6,29,Gylimic, 234111
6,29,Aeolycrimic, 341112
6,30,Palimic, 332211
6,30,Stothimic, 322113
6,30,Aeronimic, 221133
6,30,Katagimic, 211332
6,30,Phronimic, 113322
6,30,Banimic, 133221
6,31,Ionodimic, 331311
6,31,Bogimic, 313113
6,31,Mogimic, 131133
6,31,Docrimic, 311331
6,31,Epadimic, 113313
6,31,Aerynimic, 133131
6,32,Mydimic, 331131
6,32,Thyptimic, 311313
6,32,Phrothimic, 113133
6,32,Katycrimic, 131331
6,32,Ionalimic, 313311
6,32,Loptimic, 133113
6,33,Zagimic, 331122
6,33,Lagimic, 311223
6,33,Thyrimic, 112233
6,33,Thothimic, 122331
6,33,Bycrimic, 223311
6,33,Pathimic, 233112
6,34,Mothimic, 322131
6,34,Aeranimic, 221313
6,34,Ragimic, 213132
6,34,Dolimic, 131322
6,34,Porimic, 313221
6,34,Aerylimic, 132213
6,35,Bocrimic, 321312
6,35,Gythimic, 213123
6,35,Pagimic, 131232
6,35,Aeolythimic, 312321
6,35,Molimic, 123213
6,35,Staptimic, 232131
6,36,Zacrimic, 321231
6,36,Larimic, 212313
6,36,Thacrimic, 123132
6,36,Stydimic, 231321
6,36,Lorimic, 313212
6,36,Ionadimic, 132123
6,37,Ionythimic, 313131
6,37,Aerythimic, 131313
6,38,Dynimic, 313122
6,38,Zydimic, 131223
6,38,Zathimic, 312231
6,38,Radimic, 122313
6,38,Stonimic, 223131
6,38,Syptimic, 231312
6,39,Ponimic, 441111
6,39,Kadimic, 411114
6,39,Gynimic, 111144
6,39,Thydimic, 111441
6,39,Polimic, 114411
6,39,Thanimic, 144111
6,40,Lathimic, 431211
6,40,Aeralimic, 312114
6,40,Kynimic, 121143
6,40,Stynimic, 211431
6,40,Epytimic, 114312
6,40,Katoptimic, 143121
6,41,Galimic, 431112
6,41,Kathimic, 311124
6,41,Lylimic, 111243
6,41,Epalimic, 112431
6,41,Epacrimic, 124311
6,41,Sathimic, 243111
6,42,Katanimic, 422211
6,42,Katyrimic, 222114
6,42,Rynimic, 221142
6,42,Pogimic, 211422
6,42,Aeraptimic, 114222
6,42,Epylimic, 142221
6,43,Manimic, 421212
6,43,Marimic, 212124
6,43,Locrimic, 121242
6,43,Rylimic, 212421
6,43,Epatimic, 124212
6,43,Byrimic, 242121
6,44,Kocrimic, 421113
6,44,Korimic, 211134
6,44,Lynimic, 111342
6,44,Malimic, 113421
6,44,Synimic, 134211
6,44,Phragimic, 342111
6,45,Mycrimic, 411222
6,45,Ionorimic, 112224
6,45,Phrydimic, 122241
6,45,Zyptimic, 222411
6,45,Katothimic, 224112
6,45,Phrylimic, 241122
6,46,Aerothimic, 411213
6,46,Stagimic, 112134
6,46,Dorimic, 121341
6,46,Phrycrimic, 213411
6,46,Kyptimic, 134112
6,46,Ionylimic, 341121
6,47,Epynimic, 333111
6,47,Ionogimic, 331113
6,47,Kydimic, 311133
6,47,Gaptimic, 111333
6,47,Tharimic, 113331
6,47,Ionaphimic, 133311
6,48,Thoptimic, 332121
6,48,Bagimic, 321213
6,48,Kyrimic, 212133
6,48,Sonimic, 121332
6,48,Aeolonimic, 213321
6,48,Rygimic, 133212
6,49,Thagimic, 332112
6,49,Kolimic, 321123
6,49,Dycrimic, 211233
6,49,Epycrimic, 112332
6,49,Gocrimic, 123321
6,49,Katolimic, 233211
6,50,Dagimic, 331221
6,50,Aeolydimic, 312213
6,50,Parimic, 122133
6,50,Ionaptimic, 221331
6,50,Thylimic, 213312
6,50,Lolimic, 133122
6,51,Thalimic, 331212
6,51,Stygimic, 312123
6,51,Aeolygimic, 121233
6,51,Aerogimic, 212331
6,51,Dacrimic, 123312
6,51,Baptimic, 233121
6,52,Stythimic, 323121
6,52,Kothimic, 231213
6,52,Pygimic, 312132
6,52,Rodimic, 121323
6,52,Sorimic, 213231
6,52,Monimic, 132312
6,53,Aeragimic, 322221
6,53,Epothimic, 222213
6,53,Salimic, 222132
6,53,Lyptimic, 221322
6,53,Katonimic, 213222
6,53,Gygimic, 132222
6,54,Aeradimic, 321321
6,54,Zyrimic, 213213
6,54,Stylimic, 132132
6,55,Lythimic, 312312
6,55,Dodimic, 123123
6,55,Katalimic, 231231
6,56,Boptimic, 312222
6,56,Stogimic, 122223
6,56,Thynimic, 222231
6,56,Aeolathimic, 222312
6,56,Bythimic, 223122
6,56,Padimic, 231222
6,57,Dathimic, 422112
6,57,Epagimic, 221124
6,57,Raptimic, 211242
6,57,Epolimic, 112422
6,57,Sythimic, 124221
6,57,Sydimic, 242211
6,58,Gacrimic, 421122
6,58,Borimic, 211224
6,58,Sycrimic, 112242
6,58,Gadimic, 122421
6,58,Aeolocrimic, 224211
6,58,Phrygimic, 242112
6,59,WholeTone, 222222
7,1,Lydian, 2221221
7,1,Mixolydian, 2212212
7,1,Aeolian, 2122122
7,1,Locrian, 1221222
7,1,Ionian, 2212221
7,1,Dorian, 2122212
7,1,Phrygian, 1222122
7,2,Ionythian, 4122111
7,2,Aeolyrian, 1221114
7,2,Gorian, 2211141
7,2,Aeolodian, 2111412
7,2,Doptian, 1114122
7,2,Aeraphian, 1141221
7,2,Zacrian, 1412211
7,3,Ionarian, 4113111
7,3,Dynian, 1131114
7,3,Zydian, 1311141
7,3,Zathian, 3111411
7,3,Radian, 1114113
7,3,Stonian, 1141131
7,3,Syptian, 1411311
7,4,Aeolacrian, 4111311
7,4,Zythian, 1113114
7,4,Dyrian, 1131141
7,4,Koptian, 1311411
7,4,Thocrian, 3114111
7,4,Aeolanian, 1141113
7,4,Danian, 1411131
7,5,Zogian, 4111221
7,5,Epyrian, 1112214
7,5,Lycrian, 1122141
7,5,Daptian, 1221411
7,5,Kygian, 2214111
7,5,Mocrian, 2141112
7,5,Zynian, 1411122
7,6,Phrolian, 3221211
7,6,Ionagian, 2212113
7,6,Aeodian, 2121132
7,6,Kycrian, 1211322
7,6,Epygian, 2113221
7,6,Zaptian, 1132212
7,6,Kagian, 1322121
7,7,Soptian, 3221112
7,7,Ionyptian, 2211123
7,7,Gyrian, 2111232
7,7,Zalian, 1112322
7,7,Stolian, 1123221
7,7,Bylian, 1232211
7,7,Zothian, 2322111
7,8,Thonian, 3212211
7,8,Phrorian, 2122113
7,8,Stadian, 1221132
7,8,Thodian, 2211321
7,8,Dogian, 2113212
7,8,Mixopyrian, 1132122
7,8,Garian, 1321221
7,9,Epathian, 3211311
7,9,Mythian, 2113113
7,9,Sogian, 1131132
7,9,Gogian, 1311321
7,9,Rothian, 3113211
7,9,Katarian, 1132113
7,9,Stylian, 1321131
7,10,Stathian, 3211122
7,10,Mixonyphian, 2111223
7,10,Magian, 1112232
7,10,Dadian, 1122321
7,10,Aeolylian, 1223211
7,10,Gycrian, 2232111
7,10,Pyrian, 2321112
7,11,Epogian, 3113112
7,11,Lanian, 1131123
7,11,Paptian, 1311231
7,11,Ionacrian, 3112311
7,11,Gathian, 1123113
7,11,Ionyphian, 1231131
7,11,Phrynian, 2311311
7,12,Ionycrian, 3112212
7,12,Phradian, 1122123
7,12,Aeolorian, 1221231
7,12,Gonian, 2212311
7,12,Dalian, 2123112
7,12,Dygian, 1231122
7,12,Zolian, 2311221
7,13,Aerathian, 3112122
7,13,Sarian, 1121223
7,13,Zoptian, 1212231
7,13,Aeracrian, 2122311
7,13,Byptian, 1223112
7,13,Darian, 2231121
7,13,Lonian, 2311212
7,14,Aeopian, 4212111
7,14,Rygian, 2121114
7,14,Epynian, 1211142
7,14,Ionogian, 2111421
7,14,Kydian, 1114212
7,14,Gaptian, 1142121
7,14,Tharian, 1421211
7,15,Epycrian, 4211121
7,15,Gocrian, 2111214
7,15,Katolian, 1112142
7,15,Thoptian, 1121421
7,15,Bagian, 1214211
7,15,Kyrian, 2142111
7,15,Sonian, 1421112
7,16,Parian, 4131111
7,16,Ionaptian, 1311114
7,16,Thylian, 3111141
7,16,Lolian, 1111413
7,16,Thagian, 1114131
7,16,Kolian, 1141311
7,16,Dycrian, 1413111
7,17,Stygian, 4121211
7,17,Aeolygian, 1212114
7,17,Aerogian, 2121141
7,17,Dacrian, 1211412
7,17,Baptian, 2114121
7,17,Dagian, 1141212
7,17,Aeolydian, 1412121
7,18,Stythian, 4121121
7,18,Kothian, 1211214
7,18,Pygian, 2112141
7,18,Rodian, 1121412
7,18,Sorian, 1214121
7,18,Monian, 2141211
7,18,Thalian, 1412112
7,19,Zorian, 4121112
7,19,Aeragian, 1211124
7,19,Epothian, 2111241
7,19,Salian, 1112412
7,19,Lyptian, 1124121
7,19,Katonian, 1241211
7,19,Gyphian, 2412111
7,20,Thacrian, 4112211
7,20,Dodian, 1122114
7,20,Aeolyptian, 1221141
7,20,Aeolonian, 2211411
7,20,Aeradian, 2114112
7,20,Aeolagian, 1141122
7,20,Zyrian, 1411221
7,21,Aeolathian, 4112121
7,21,Bythian, 1121214
7,21,Padian, 1212141
7,21,Rolian, 2121411
7,21,Pydian, 1214112
7,21,Thygian, 2141121
7,21,Katalian, 1411212
7,22,Saptian, 4111212
7,22,Aerodian, 1112124
7,22,Macrian, 1121241
7,22,Rogian, 1212411
7,22,Boptian, 2124111
7,22,Stogian, 1241112
7,22,Thynian, 2411121
7,23,Thycrian, 4111131
7,23,Aeoladian, 1111314
7,23,Dylian, 1113141
7,23,Eponian, 1131411
7,23,Katygian, 1314111
7,23,Starian, 3141111
7,23,Phrathian, 1411113
7,24,Stalian, 3311211
7,24,Stoptian, 3112113
7,24,Zygian, 1121133
7,24,Kataptian, 1211331
7,24,Aeolaptian, 2113311
7,24,Pothian, 1133112
7,24,Bygian, 1331121
7,25,Morian, 3231111
7,25,Rycrian, 2311113
7,25,Ronian, 3111132
7,25,Stycrian, 1111323
7,25,Katorian, 1113231
7,25,Epythian, 1132311
7,25,Kaptian, 1323111
7,26,Phraptian, 3222111
7,26,Bacrian, 2221113
7,26,Katythian, 2211132
7,26,Madian, 2111322
7,26,Aerygian, 1113222
7,26,Pylian, 1132221
7,26,Ionathian, 1322211
7,27,Katocrian, 3213111
7,27,Phryptian, 2131113
7,27,Katynian, 1311132
7,27,Aerycrian, 3111321
7,27,Ganian, 1113213
7,27,Eparian, 1132131
7,27,Lyrian, 1321311
7,28,Ionopian, 3212112
7,28,Aeologian, 2121123
7,28,Zadian, 1211232
7,28,Sygian, 2112321
7,28,Phralian, 1123212
7,28,Phrogian, 1232121
7,28,Rathian, 2321211
7,29,Rythian, 3211212
7,29,Donian, 2112123
7,29,Aeoloptian, 1121232
7,29,Panian, 1212321
7,29,Lodian, 2123211
7,29,Solian, 1232112
7,29,Ionolian, 2321121
7,30,Laptian, 3211131
7,30,Lygian, 2111313
7,30,Logian, 1113132
7,30,Lalian, 1131321
7,30,Sothian, 1313211
7,30,Phrocrian, 3132111
7,30,Thogian, 1321113
7,31,Katathian, 3131211
7,31,Modian, 1312113
7,31,Barian, 3121131
7,31,Mixolocrian, 1211313
7,31,Sagian, 2113131
7,31,Aeolothian, 1131312
7,31,Socrian, 1313121
7,32,Tholian, 3131121
7,32,Ralian, 1311213
7,32,Syrian, 3112131
7,32,Stodian, 1121313
7,32,Ionocrian, 1213131
7,32,Zycrian, 2131311
7,32,Ionygian, 1313112
7,33,Zarian, 3131112
7,33,Phrythian, 1311123
7,33,Rorian, 3111231
7,33,Bolian, 1112313
7,33,Bothian, 1123131
7,33,Katadian, 1231311
7,33,Kodian, 2313111
7,34,Ranian, 3123111
7,34,Ladian, 1231113
7,34,Podian, 2311131
7,34,Ionothian, 3111312
7,34,Kanian, 1113123
7,34,Zylian, 1131231
7,34,Zodian, 1312311
7,35,Golian, 3122211
7,35,Dyptian, 1222113
7,35,Ryphian, 2221131
7,35,Gylian, 2211312
7,35,Aeolycrian, 2113122
7,35,Pynian, 1131222
7,35,Zanian, 1312221
7,36,Palian, 3122121
7,36,Stothian, 1221213
7,36,Aerorian, 2212131
7,36,Katagian, 2121312
7,36,Phronian, 1213122
7,36,Banian, 2131221
7,36,Aeronian, 1312212
7,37,Loptian, 3121311
7,37,Ionodian, 1213113
7,37,Bogian, 2131131
7,37,Mogian, 1311312
7,37,Docrian, 3113121
7,37,Epadian, 1131213
7,37,Aerynian, 1312131
7,38,Bycrian, 3121221
7,38,Pathian, 1212213
7,38,Mydian, 2122131
7,38,Thyptian, 1221312
